User_ID,Category,Activity,Rating,Time_Spent
User_01,activities,yoga,2,133
User_01,amenities,gym,1,124
User_01,activities,golf,4,106
User_01,activities,city_tour,1,48
User_01,amenities,spa,1,112
User_01,activities,yoga,3,87
User_01,amenities,tennis_court,1,174
User_01,activities,city_tour,4,120
User_01,activities,yoga,3,69
User_01,amenities,business_center,3,161
User_01,activities,golf,3,36
User_01,dining,main_restaurant,5,114
User_01,dining,cafe,1,89
User_02,dining,main_restaurant,5,137
User_02,dining,buffet,2,127
User_02,activities,beach_activity,1,74
User_02,amenities,gym,3,179
User_02,dining,cafe,2,85
User_02,activities,city_tour,2,74
User_02,dining,cafe,3,36
User_02,activities,yoga,1,149
User_02,amenities,spa,2,150
User_02,activities,city_tour,2,150
User_02,amenities,spa,2,98
User_02,activities,golf,5,144
User_02,dining,room_service,1,50
User_02,dining,bar,4,33
User_02,activities,beach_activity,1,89
User_03,amenities,spa,5,162
User_03,amenities,gym,5,143
User_03,amenities,spa,1,174
User_03,activities,cooking_class,5,84
User_03,amenities,spa,5,59
User_03,activities,golf,1,78
User_04,amenities,pool,1,177
User_04,activities,yoga,2,84
User_04,dining,bar,2,70
User_04,amenities,business_center,2,115
User_04,activities,city_tour,2,142
User_04,amenities,gym,4,104
User_04,activities,golf,5,87
User_04,dining,bar,2,143
User_04,activities,beach_activity,5,102
User_04,dining,bar,2,147
User_04,amenities,gym,3,87
User_04,amenities,tennis_court,1,62
User_04,amenities,business_center,1,95
User_04,activities,yoga,2,30
User_05,amenities,spa,1,80
User_05,dining,buffet,1,103
User_05,dining,bar,4,53
User_05,activities,golf,5,144
User_05,amenities,business_center,5,76
User_05,amenities,business_center,1,101
User_05,amenities,business_center,1,43
User_05,activities,city_tour,5,157
User_05,amenities,tennis_court,3,95
User_05,activities,city_tour,4,166
User_06,activities,golf,1,66
User_06,amenities,pool,1,112
User_06,amenities,gym,2,160
User_06,amenities,tennis_court,3,147
User_06,dining,main_restaurant,3,129
User_06,dining,buffet,5,165
User_06,amenities,gym,2,116
User_06,activities,city_tour,4,42
User_06,activities,cooking_class,4,120
User_06,dining,main_restaurant,5,33
User_06,amenities,gym,4,87
User_07,amenities,business_center,2,75
User_07,amenities,tennis_court,5,77
User_07,dining,buffet,2,102
User_07,activities,city_tour,5,78
User_07,amenities,pool,5,50
User_07,dining,cafe,2,117
User_07,amenities,pool,4,70
User_07,dining,main_restaurant,2,32
User_08,activities,city_tour,3,166
User_08,dining,buffet,5,56
User_08,activities,golf,3,126
User_08,activities,beach_activity,1,43
User_08,dining,cafe,3,103
User_08,dining,bar,2,51
User_08,activities,beach_activity,3,138
User_08,amenities,business_center,1,125
User_09,amenities,gym,5,124
User_09,activities,city_tour,1,103
User_09,amenities,tennis_court,4,130
User_09,amenities,tennis_court,5,140
User_09,activities,golf,1,163
User_09,amenities,pool,3,173
User_09,activities,yoga,2,164
User_09,activities,city_tour,1,158
User_09,amenities,gym,2,94
User_09,dining,cafe,4,169
User_09,activities,beach_activity,2,109
User_09,activities,golf,5,127
User_010,dining,room_service,3,54
User_010,dining,main_restaurant,4,143
User_010,dining,main_restaurant,3,42
User_010,dining,main_restaurant,2,55
User_010,amenities,business_center,1,172
User_010,amenities,gym,5,98
User_010,dining,room_service,5,30
User_010,dining,cafe,5,172
User_010,activities,yoga,2,148
User_010,amenities,pool,5,142
User_010,amenities,pool,2,153
User_010,dining,bar,2,164
User_010,amenities,gym,4,168
User_010,dining,buffet,3,74
User_010,activities,city_tour,2,46
User_011,amenities,business_center,4,161
User_011,dining,buffet,4,83
User_011,dining,buffet,3,167
User_011,dining,buffet,5,178
User_011,dining,bar,1,112
User_011,amenities,pool,1,109
User_011,dining,buffet,1,51
User_011,activities,city_tour,3,79
User_011,dining,bar,4,139
User_011,dining,cafe,5,172
User_011,amenities,business_center,1,99
User_011,activities,city_tour,1,72
User_011,activities,city_tour,2,180
User_011,dining,cafe,4,155
User_012,amenities,spa,5,113
User_012,dining,main_restaurant,1,129
User_012,amenities,business_center,1,36
User_012,dining,cafe,3,82
User_012,amenities,pool,1,162
User_012,amenities,business_center,5,33
User_012,dining,buffet,2,167
User_012,amenities,pool,3,113
User_013,activities,cooking_class,5,105
User_013,amenities,pool,3,121
User_013,dining,buffet,3,33
User_013,dining,bar,1,168
User_013,activities,beach_activity,3,60
User_014,activities,beach_activity,1,143
User_014,dining,room_service,4,36
User_014,dining,room_service,3,151
User_014,amenities,gym,5,90
User_014,amenities,tennis_court,3,120
User_014,dining,room_service,3,128
User_014,amenities,spa,2,79
